player_id,name,pos,dob,club,club_country,caps,goals,first_window,last_window,n_windows,last_seen,status,club_v,club_country_v,league_v,club_source,contract_until,height,foot,market_value_eur,career_retired,sofa_id,source
cyril-dao,Cyril Dao,DF,2005-11-10,National Bank of Egypt,Egypt,0,0,current,current,1,2026-06-09,active,,,,sofascore@2026-08-21,,,,,0,2639945,wikipedia
cyrille-bayala,Cyrille Bayala,FW,1996-05-24,Ajaccio,France,29,3,afcon2021,afcon2021,1,2023-09-12,out,Dalian Kuncheng City,China,Chinese League 1,sofascore@2026-08-21,,181,Right,265000,0,785876,wikipedia
damassi-konate,Damassi Konaté,FW,1997-06-30,,,,,,,0,2025-08-16,fringe,AS Mangasport,Gabon,National Foot 1,sofascore@2026-08-21,,,Right,,0,2200963,sofascore
dango-ouattara,Dango Ouattara,FW,2002-02-11,Brentford,England,40,12,afcon2021,current,4,2026-06-09,active,Brentford,England,Premier League,sofascore@2026-08-21,2030-06-30,177,Left,36000000,0,1106451,wikipedia
dao-cyrille,Dao Cyrille,DF,2005-11-10,,,,,,,0,2026-06-09,active,National Bank of Egypt,Egypt,Egyptian Premier League,sofascore@2026-08-21,2028-06-30,179,Right,210000,0,2008836,sofascore
djibril-ouattara,Djibril Ouattara,FW,1999-09-19,RS Berkane,Morocco,11,1,afcon2021,afcon2023,2,2024-01-30,out,APR FC,Rwanda,Rwanda Premier League,sofascore@2026-08-21,,177,Left,320000,0,971036,wikipedia
dramane-kambou,Dramane Kambou,MF,2000-01-05,,,,,,,0,2023-03-28,out,FC Saint-Éloi Lupopo,DR Congo,Illicocash Ligue 1,sofascore@2026-08-21,,175,Right,,0,1479068,sofascore
dramane-nikiema,Dramane Nikièma,MF,1988-10-17,Horoya,Guinea,6,0,afcon2021,afcon2021,1,2022-02-05,out,AS Douanes,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,175,Right,135000,0,933047,wikipedia
dramane-salou,Dramane Salou,MF,1998-05-22,Urartu,Armenia,6,0,afcon2023,afcon2023,1,2025-03-24,fringe,,,,sofascore@2026-08-21,,175,Right,260000,0,924861,wikipedia
dylan-ouedraogo,Dylan Ouédraogo,DF,1998-07-22,Krasava ENY,Cyprus,2,0,recent,recent,1,2026-06-01,active,,,,sofascore@2026-08-21,,185,Left,165000,0,899011,wikipedia
edmond-tapsoba,Edmond Tapsoba,DF,1999-02-02,Bayer Leverkusen,Germany,62,5,afcon2021,current,4,2026-06-09,active,Bayer 04 Leverkusen,Germany,Bundesliga,sofascore@2026-08-21,2031-06-30,193,Right,37000000,0,883262,wikipedia
elohim-kabore,Elohim Kaboré,FW,2006-12-20,Hammarby,Sweden,1,1,current,current,1,2026-06-09,active,,,,wikipedia,,,,,0,,wikipedia
enock-belem,Enock Belem,DF,,,,,,,,0,2025-08-16,fringe,,,,sofascore@2026-08-21,,180,,,0,2200982,sofascore
eric-traore,Eric Traoré,FW,1996-05-21,Pyramids,Egypt,10,1,afcon2021,afcon2021,1,2022-02-05,out,,,,sofascore@2026-08-21,,182,Right,105000,0,785871,wikipedia
faissal-zangre,Faissal Zangre,FW,1997-05-05,,,,,,,0,2022-03-24,out,Amarante FC,Portugal,Liga Portugal 2,sofascore@2026-08-21,2027-06-30,177,Right,69000,0,966888,sofascore
farid-ouedraogo,Farid Ouédraogo,GK,1996-12-26,Al Hilal,Sudan,10,0,afcon2021,current,3,2026-06-09,active,Al-Hilal Omdurman,Sudan,Rwanda Premier League,sofascore@2026-08-21,2028-06-30,185,Right,275000,0,1006190,wikipedia
faycal-konate,Fayçal Konaté,FW,2006-08-15,RFS,Latvia,0,0,recent,recent,1,2026-06-01,active,MFK Karviná,Czechia,FNL,sofascore@2026-08-21,,197,,160000,0,2058080,wikipedia
frank-tologo,Frank Tologo,DF,1996-09-13,,,,,,,0,2025-08-16,fringe,,,,sofascore@2026-08-21,,185,,,0,2200985,sofascore
georgi-minoungou,Georgi Minoungou,FW,2002-07-25,Colorado Rapids,United States,10,1,afcon2025,current,2,2026-06-09,active,Colorado Rapids,USA,MLS,sofascore@2026-08-21,2028-12-31,178,Right,1600000,0,1492520,wikipedia
gustavo-sangare,Gustavo Sangaré,MF,1996-11-08,Noah,Armenia,40,2,afcon2021,current,4,2026-06-09,active,FC Noah,Armenia,Armenian Premier League,sofascore@2026-08-21,2027-06-30,180,Right,725000,0,1019038,wikipedia
hamed-blakiss-ouattara,Hamed Blakiss Ouattara,FW,2001-12-16,,,,,,,0,2025-01-09,out,,,,sofascore@2026-08-21,,,,,0,1103415,sofascore
hanaby-hadalou-sagne,Hanaby Hadalou Sagne,DF,2000-12-20,AS Douanes,Burkina Faso,0,0,current,current,1,2026-06-09,active,AS Douanes,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,,,0,2025852,wikipedia
hassane-bande,Hassane Bandé,FW,1998-10-30,Mechelen,Belgium (civil),36,3,afcon2021,recent,3,2026-06-01,active,,,,sofascore@2026-08-21,,178,Right,235000,0,886227,wikipedia
hassane-rachid-traore,Hassane Rachid Traoré,DF,2007-07-13,USFA,Burkina Faso,0,0,recent,recent,1,2026-06-01,active,,,,wikipedia,,,,,0,,wikipedia
hassane-traore,Hassane Traoré,DF,2007-07-13,,,,,,,0,2025-06-02,fringe,FCV Farul Constanța,Romania,SuperLiga României,sofascore@2026-08-21,2029-06-30,,,,0,2166721,sofascore
hassim-traore,Hassim Traore,FW,1995-12-30,,,,,,,0,2024-06-10,out,,,,sofascore@2026-08-21,,172,Right,0,0,156151,sofascore
hermann-nikiema,Hermann Nikiema,DF,1988-11-30,Salitas,Burkina Faso,5,1,afcon2021,afcon2021,1,2022-01-09,out,,,,wikipedia,,,,,0,,wikipedia
herve-koffi,Hervé Koffi,GK,1996-10-16,Angers,France,70,0,afcon2021,current,4,2026-06-09,active,Royale Union Saint-Gilloise,Belgium,Pro League,sofascore@2026-08-21,2027-06-30,187,Right,5600000,0,867299,wikipedia
hillel-konate,Hillel Konaté,GK,1994-12-28,Troyes,France,5,0,afcon2023,current,2,2026-06-09,active,Troyes,France,Ligue 1,sofascore@2026-08-21,2027-06-30,182,Right,415000,0,580180,wikipedia
honore-ye,Honoré Ye,FW,1999-06-04,,,,,,,0,2025-01-09,out,Andranik,Armenia,Armenian 1st League,sofascore@2026-08-21,2027-06-30,,,47000,0,2335171,sofascore
ibrahim-bance,Ibrahim Bancé,MF,2001-01-15,Marumo Gallants,South Africa,2,0,recent,recent,1,2026-06-01,active,Marumo Gallants FC,South Africa,South African Premier Division,sofascore@2026-08-21,,175,Left,105000,0,973796,wikipedia
ismael-seone,Ismaël Seone,FW,2005-04-26,,,,,,,0,2023-06-18,out,Haugesund,Norway,Norwegian 1st Division,sofascore@2026-08-21,2028-12-31,184,Right,185000,0,1501395,sofascore
ismaelo-ganiou,Ismaëlo Ganiou,DF,2005-03-14,Lens,France,1,0,recent,recent,1,2026-06-01,active,RC Lens,France,Ligue 1,sofascore@2026-08-21,2030-06-30,182,Right,19400000,0,1408080,wikipedia
ismahila-ouedraogo,Ismahila Ouédraogo,MF,1999-11-05,Odense,Denmark,26,0,afcon2021,current,4,2026-06-09,active,Odense Boldklub,Denmark,Danish Superliga,sofascore@2026-08-21,2029-06-30,169,Right,1300000,0,1099259,wikipedia
issa-kabore,Issa Kaboré,DF,2001-05-12,Wrexham,Wales,52,2,afcon2021,recent,4,2026-06-01,active,Manchester City,England,Premier League,sofascore@2026-08-21,2027-06-30,180,Right,4099999,0,1006189,wikipedia
issouf-kabore,Issouf Kaboré,FW,,,,,,,,0,2025-08-16,fringe,Al-Hilal Omdurman,Sudan,Rwanda Premier League,sofascore@2026-08-21,,,,,0,2201001,sofascore
issouf-sosso,Issouf Sosso,DF,1996-08-11,,,,,,,0,2025-01-09,out,,,,sofascore@2026-08-21,,176,Right,,0,1099261,sofascore
issoufou-dayo,Issoufou Dayo,DF,1991-08-06,Umm-Salal,Qatar,84,9,afcon2021,recent,4,2026-06-01,active,Umm-Salal SC,Qatar,Qatar League 2,sofascore@2026-08-21,,187,Right,515000,0,364758,wikipedia
jack-diarra,Jack Diarra,FW,2006-06-16,Espérance de Tunis,Tunisia,1,0,recent,recent,1,2026-06-01,active,Espérance Sportive De Tunis,Tunisia,Tunisian Ligue Professionnelle 1,sofascore@2026-08-21,2028-06-30,173,Right,320000,0,1542760,wikipedia
jean-fiacre-kouame-botue,Jean Fiacre Kouamé Botué,MF,2002-08-07,,,,,,,0,2022-01-23,out,Inter Turku,Finland,Veikkausliiga,sofascore@2026-08-21,2026-12-31,184,Right,270000,0,1102863,sofascore
joffrey-bazie,Joffrey Bazié,FW,2003-10-27,,,,,,,0,2022-06-07,out,Bastia 2,France,National 3 Groupe D,sofascore@2026-08-21,,185,Left,48000,0,1103414,sofascore
josaphat-ouattara,Josaphat Ouattara,MF,2003-07-01,,,,,,,0,2025-08-16,fringe,,,,sofascore@2026-08-21,,173,,,0,2201007,sofascore
josue-tiendrebeogo,Josué Tiendrébéogo,MF,2002-11-21,Annecy,France,10,2,afcon2025,recent,2,2026-06-01,active,FK IMT Beograd,Serbia,Mozzart Bet Superliga,sofascore@2026-08-21,,169,Right,465000,0,1897363,wikipedia
kalifa-nikiema,Kalifa Nikiema,MF,2000-12-31,,,,,,,0,2025-08-13,fringe,AS Douanes,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,Right,,0,1102864,sofascore
kilian-nikiema,Kilian Nikiema,GK,2003-06-22,ADO Den Haag,Netherlands,10,0,afcon2021,current,4,2026-06-09,active,ADO Den Haag,Netherlands,VriendenLoterij Eredivisie,sofascore@2026-08-21,2030-06-30,188,Left,680000,0,1149858,wikipedia
kouame-botue,Kouamé Botué,FW,2002-08-07,Ajaccio,France,3,0,afcon2021,afcon2021,1,2022-01-09,out,,,,wikipedia,,,,,0,,wikipedia
koula-sebastien-tou,Koula Sébastien Tou,GK,2004-12-01,,,,,,,0,2023-09-12,out,USL Dunkerque 2,France,R1 Hauts de France,sofascore@2026-08-21,,183,,48000,0,1103383,sofascore
ladji-brahima-sanou,Ladji Brahima Sanou,GK,2003-04-21,Al-Merrikh,Sudan,3,0,recent,recent,1,2026-06-01,active,Burkina Faso,Burkina Faso,Africa Cup of Nations,sofascore@2026-08-21,,,,,0,2028674,wikipedia
lassina-traore,Lassina Traoré,FW,2001-01-12,Shakhtar Donetsk,Ukraine,31,13,afcon2025,recent,2,2026-06-01,active,Shakhtar Donetsk,Ukraine,Ukrainian Premier League,sofascore@2026-08-21,2031-06-30,183,Right,7500000,0,911719,wikipedia
lohann-doucet,Lohann Doucet,MF,2002-09-14,Dunkerque,France,2,0,current,current,1,2026-06-09,active,Vitória SC,Portugal,Liga Portugal Betclic,sofascore@2026-08-21,2029-06-30,180,Right,515000,0,1170523,wikipedia
mamady-bangre,Mamady Bangré,FW,2001-06-15,Toulouse,France,6,0,afcon2023,afcon2023,1,2024-01-30,out,Grenoble Foot 38,France,Ligue 2,sofascore@2026-08-21,2027-06-30,171,Left,365000,0,994867,wikipedia
mathieu-konvelbo,Mathieu Konvelbo,GK,2000-09-20,,,,,,,0,2025-08-16,fringe,Rahimo FC,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,,,0,2201021,sofascore
mohamed-ali-yabre,Mohamed Ali Yabré,DF,2004-10-30,,,,,,,0,2025-03-24,fringe,ASEC Mimosas,Côte d'Ivoire,Ivory Coast Ligue 1,sofascore@2026-08-21,,176,Left,54000,0,1499155,sofascore
mohamed-guira,Mohamed Guira,DF,1999-12-27,,,,,,,0,2025-08-16,fringe,AS Sonabel,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,175,,,0,2201029,sofascore
mohamed-konate,Mohamed Konaté,FW,1997-12-12,Akhmat Grozny,Russia,38,6,afcon2021,current,4,2026-06-09,active,Akhmat Grozny,Russia,Russian Premier League,sofascore@2026-08-21,2028-06-30,190,Right,1000000,0,850011,wikipedia
mohamed-ouattara,Mohamed Ouattara,FW,1993-03-06,,,,,,,0,2022-06-07,out,,,,sofascore@2026-08-21,,185,Left,110000,0,899012,sofascore
mohamed-ouedraogo,Mohamed Ouédraogo,DF,2003-01-02,Rheindorf Altach,Austria,9,0,current,current,1,2026-06-09,active,Olympique Lyonnais,France,Ligue 1,sofascore@2026-08-21,2031-06-30,183,Left,1200000,0,1506773,wikipedia
mohamed-zegue-traore,Mohamed Zegue Traore,GK,1999-12-31,,,,,,,0,2025-01-09,out,AS Douanes,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,,,0,1102861,sofascore
mohamed-zougrana,Mohamed Zougrana,MF,2001-10-29,MC Alger,Algeria,7,2,afcon2025,current,2,2026-06-09,active,MC Alger,Algeria,Algerian Ligue 1,sofascore@2026-08-21,2027-06-30,177,Right,775000,0,1183551,wikipedia
moise-kabore,Moise Kaboré,FW,2006-12-20,,,,,,,0,2026-06-09,active,SK Beveren,Belgium,Pro League,sofascore@2026-08-21,2027-06-30,176,Right,760000,0,1490960,sofascore
moumoune-diallo,Moumoune Diallo,DF,2004-02-25,,,,,,,0,2025-08-16,fringe,,,,sofascore@2026-08-21,,,,,0,2201033,sofascore
moussa-traore,Moussa Traoré,GK,2001-01-02,,,,,,,0,2025-08-16,fringe,Burkina Faso,Burkina Faso,Africa Cup of Nations,sofascore@2026-08-21,,,,,0,2201037,sofascore
nampe-salifou-coulibaly,Nampe Salifou Coulibaly,GK,1997-09-27,,,,,,,0,2024-06-10,out,Salitas FC,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,,,0,1883966,sofascore
nasser-djiga,Nasser Djiga,DF,2002-11-15,Rangers,Scotland,11,1,afcon2023,current,3,2026-06-09,active,Wolverhampton,England,Championship,sofascore@2026-08-21,2030-06-30,187,Right,6500000,0,1127169,wikipedia
nassim-innocenti,Nassim Innocenti,DF,2002-02-19,,,,,,,0,2023-03-28,out,FK Jablonec,Czechia,Czech First League,sofascore@2026-08-21,,187,Left,300000,0,996956,sofascore
nourdine-balora,Nourdine Balora,GK,1997-03-09,,,,,,,0,2022-06-07,out,,,,sofascore@2026-08-21,,,,,0,1089813,sofascore
oula-abass-traore,Oula Abass Traoré,DF,1995-09-29,Horoya,Guinea,7,0,afcon2021,afcon2021,1,2022-01-09,out,Horoya,Guinea,Ligue 1,sofascore@2026-08-21,,,,,0,1170673,wikipedia
oula-traore,Oula Traoré,DF,1995-09-29,,,,,,,0,2022-03-29,out,AS Douanes,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,180,Left,68000,0,1064788,sofascore
ousmane-camara,Ousmane Camara,FW,2006-01-01,,,,,,,0,2024-11-18,out,RFC Liège,Belgium,Challenger Pro League,sofascore@2026-08-21,,181,Left,180000,0,1542806,sofascore
ousmane-siry,Ousmane Siry,MF,1991-05-30,,,,,,,0,2025-08-16,fringe,ASF Bobo Dioulasso,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,,,0,2201058,sofascore
ousseni-bouda,Ousseni Bouda,FW,2000-04-28,San Jose Earthquakes,United States,14,2,afcon2025,current,2,2026-06-09,active,San Jose Earthquakes,USA,MLS,sofascore@2026-08-21,2027-12-31,180,Left,1700000,0,983282,wikipedia
pakwo-gnanou,Pakwo Gnanou,DF,1991-01-03,,,,,,,0,2026-06-05,active,Burkina Faso,Burkina Faso,Africa Cup of Nations,sofascore@2026-08-21,,191,Right,,0,2618161,sofascore
papus-ouattara,Papus Ouattara,FW,2006-09-12,,,,,,,0,2025-08-16,fringe,Vitesse FC,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,,,0,2201056,sofascore
patrick-malo,Patrick Malo,DF,1992-02-18,Hassania Agadir,Morocco,20,0,afcon2021,afcon2021,1,2025-08-16,fringe,,,,sofascore@2026-08-21,,178,Left,375000,0,867239,wikipedia
philippe-mare,Philippe Mare,GK,2003-11-14,,,,,,,0,2025-01-09,out,,,,sofascore@2026-08-21,,195,Right,,0,1627778,sofascore
pierre-landry-kabore,Pierre Landry Kaboré,FW,2001-07-05,Heart of Midlothian,Scotland,9,3,afcon2025,current,2,2026-06-09,active,Heart of Midlothian,Scotland,Scottish Premiership,sofascore@2026-08-21,2028-05-31,180,Left,320000,0,1102857,wikipedia
rachide-gnanou,Rachide Gnanou,DF,2004-11-16,Gnistan,Finland,2,0,current,current,1,2026-06-09,active,IF Gnistan,Finland,Veikkausliiga,sofascore@2026-08-21,2027-12-31,186,Both,275000,0,2045370,wikipedia
raouf-memel-dao,Raouf Memel Dao,MF,2003-09-05,APR,Burundi,2,0,recent,recent,1,2026-06-01,active,APR FC,Rwanda,Rwanda Premier League,sofascore@2026-08-21,,,Right,,0,1103412,wikipedia
regis-ndo,Regis Ndo,FW,2001-05-22,,,,,,,0,2024-11-18,out,,,,sofascore@2026-08-21,,181,Left,185000,0,1084705,sofascore
ridouanou-maiga,Ridouanou Maiga,MF,1993-08-09,,,,,,,0,2025-01-09,out,,,,sofascore@2026-08-21,,183,Right,,0,1992144,sofascore
romain-lougoutiogue,Romain Lougoutiogue,FW,2002-09-02,,,,,,,0,2025-08-16,fringe,AS Sonabel,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,,,0,2025856,sofascore
sacha-banse,Sacha Bansé,MF,2001-03-16,Valenciennes,France,0,0,afcon2023,afcon2023,1,2024-11-18,out,SpVgg Greuther Fürth,Germany,2. Bundesliga,sofascore@2026-08-21,2027-06-30,180,Right,600000,0,1126690,wikipedia
saidou-simpore,Saïdou Simporé,DF,1992-08-31,National Bank of Egypt,Egypt,17,1,afcon2021,current,3,2026-06-09,active,Al Faisaly SC,Jordan,Jordan Pro League,sofascore@2026-08-21,2027-06-30,179,Right,190000,0,785883,wikipedia
sebas-koula,Sebas Koula,GK,2004-12-01,Sabadell,Spain,0,0,afcon2023,afcon2023,1,2024-01-13,out,,,,wikipedia,,,,,0,,wikipedia
somgogna-hermann-nikiema,Somgogna Hermann Nikiema,DF,1988-11-30,,,,,,,0,2022-03-29,out,Rail Club de Kadiogo,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,188,Left,97000,0,895795,sofascore
souleymane-massa-ouattara,Souleymane Massa Ouattara,DF,1999-04-13,,,,,,,0,2025-01-09,out,,,,sofascore@2026-08-21,,185,,53000,0,1830851,sofascore
souleymane-sangare,Souleymane Sangaré,MF,2003-08-03,,,,,,,0,2025-08-16,fringe,Al Taawon Ajdabiya SC,Libya,Premier League,sofascore@2026-08-21,,,Right,,0,2201046,sofascore
soumaila-ouattara,Soumaïla Ouattara,DF,1995-07-04,Raja CA,Morocco,4,0,afcon2021,afcon2021,1,2022-06-07,out,Raja Club Athletic,Morocco,Botola Pro,sofascore@2026-08-21,,,,,0,1083202,wikipedia
steeve-yago,Steeve Yago,DF,1992-12-16,Aris Limassol,Cyprus,93,1,afcon2021,recent,4,2026-06-01,active,Aris Limassol,Cyprus,Cyprus League by Stoiximan,sofascore@2026-08-21,2027-05-31,180,Right,355000,0,174911,wikipedia
stephane-aziz-ki,Stephane Aziz Ki,MF,1996-03-06,Wydad Casablanca,Morocco,22,3,afcon2023,recent,3,2026-06-01,active,Al Ittihad SC,Libya,Premier League,sofascore@2026-08-21,,180,Left,290000,0,865473,wikipedia
tertius-bagre,Tertius Bagré,MF,2005-10-26,,,,,,,0,2025-08-16,fringe,CS Sfaxien,Tunisia,Tunisian Ligue Professionnelle 1,sofascore@2026-08-21,,,,,0,2201045,sofascore
trova-boni,Trova Boni,DF,1999-12-21,,,,,,,0,2025-11-18,active,Al Ahly Benghazi,Libya,Premier League,sofascore@2026-08-21,,185,Right,285000,0,919990,sofascore
valentin-nouma,Valentin Nouma,DF,2000-02-14,Saint-Éloi,Democratic Republic of the Congo,5,0,afcon2023,afcon2023,1,2024-11-18,out,TRA United SC,Tanzania,Tanzanian Premier League,sofascore@2026-08-21,,178,Left,110000,0,1435940,wikipedia
yves-koutiama,Yves Koutiama,FW,1999-01-13,,,,,,,0,2025-08-16,fringe,Kenya Police,Kenya,FKF Kenyan Premier League,sofascore@2026-08-21,,173,,,0,2201040,sofascore
zakaria-sanogo,Zakaria Sanogo,FW,1996-12-11,Ararat-Armenia,Armenia,19,0,afcon2021,afcon2021,1,2022-02-05,out,AS Douanes,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,169,Right,140000,0,843336,wikipedia
