player_id,window_id,window_date,name,pos,dob,caps_at_time,goals_at_time,club_at_time,club_country_at_time,note,source
issa-kabore,afcon2023,2024-01-13,Issa Kaboré,DF,2001-05-12,35,1,Luton Town,England,,wikipedia:afcon2023
issoufou-dayo,afcon2023,2024-01-13,Issoufou Dayo,DF,1991-08-06,71,8,RS Berkane,Morocco,,wikipedia:afcon2023
kilian-nikiema,afcon2023,2024-01-13,Kilian Nikiema,GK,2003-06-22,4,0,ADO Den Haag,Netherlands,,wikipedia:afcon2023
mamady-bangre,afcon2023,2024-01-13,Mamady Bangré,FW,2001-06-15,6,0,Toulouse,France,,wikipedia:afcon2023
mohamed-konate,afcon2023,2024-01-13,Mohamed Konaté,FW,1997-12-12,21,3,Akhmat Grozny,Russia,,wikipedia:afcon2023
nasser-djiga,afcon2023,2024-01-13,Nasser Djiga,DF,2002-11-15,2,0,Red Star Belgrade,Serbia,,wikipedia:afcon2023
sacha-banse,afcon2023,2024-01-13,Sacha Bansé,MF,2001-03-16,0,0,Valenciennes,France,,wikipedia:afcon2023
sebas-koula,afcon2023,2024-01-13,Sebas Koula,GK,2004-12-01,0,0,Sabadell,Spain,,wikipedia:afcon2023
steeve-yago,afcon2023,2024-01-13,Steeve Yago,DF,1992-12-16,74,1,Aris Limassol,Cyprus,,wikipedia:afcon2023
stephane-aziz-ki,afcon2023,2024-01-13,Stephane Aziz Ki,MF,1996-03-06,11,2,Young Africans,Tanzania,,wikipedia:afcon2023
valentin-nouma,afcon2023,2024-01-13,Valentin Nouma,DF,2000-02-14,5,0,Saint-Éloi,Democratic Republic of the Congo,,wikipedia:afcon2023
abdoul-ayinde,afcon2025,2025-12-21,Abdoul Ayinde,DF,2005-07-17,3,0,Gent,Belgium (civil),,wikipedia:afcon2025
abdoul-yoda,afcon2025,2025-12-21,Abdoul Yoda,MF,2000-12-20,3,0,Milsami Orhei,Moldova,,wikipedia:afcon2025
adamo-nagalo,afcon2025,2025-12-21,Adamo Nagalo,DF,2002-09-22,19,0,PSV Eindhoven,Netherlands,,wikipedia:afcon2025
arsene-kouassi,afcon2025,2025-12-21,Arsène Kouassi,DF,2004-09-11,2,0,Lorient,France,,wikipedia:afcon2025
bertrand-traore,afcon2025,2025-12-21,Bertrand Traoré,FW,1995-09-06,85,21,Sunderland,England,,wikipedia:afcon2025
blati-toure,afcon2025,2025-12-21,Blati Touré,MF,1994-08-04,58,3,Pyramids,Egypt,,wikipedia:afcon2025
cedric-badolo,afcon2025,2025-12-21,Cedric Badolo,MF,1998-11-04,30,0,Spartak Trnava,Slovakia,,wikipedia:afcon2025
cyriaque-irie,afcon2025,2025-12-21,Cyriaque Irié,FW,2005-06-20,4,2,SC Freiburg,Germany,,wikipedia:afcon2025
dango-ouattara,afcon2025,2025-12-21,Dango Ouattara,FW,2002-02-11,35,12,Brentford,England,,wikipedia:afcon2025
edmond-tapsoba,afcon2025,2025-12-21,Edmond Tapsoba,DF,1999-02-02,57,3,Bayer Leverkusen,Germany,,wikipedia:afcon2025
farid-ouedraogo,afcon2025,2025-12-21,Farid Ouédraogo,GK,1996-12-26,10,0,Al Hilal,Sudan,,wikipedia:afcon2025
georgi-minoungou,afcon2025,2025-12-21,Georgi Minoungou,FW,2002-07-25,4,0,Seattle Sounders,United States,,wikipedia:afcon2025
gustavo-sangare,afcon2025,2025-12-21,Gustavo Sangaré,MF,1996-11-08,38,2,Noah,Armenia,,wikipedia:afcon2025
herve-koffi,afcon2025,2025-12-21,Hervé Koffi,GK,1996-10-16,67,0,Angers,France,,wikipedia:afcon2025
ismahila-ouedraogo,afcon2025,2025-12-21,Ismahila Ouédraogo,MF,1999-11-05,25,0,OB,Denmark,,wikipedia:afcon2025
issa-kabore,afcon2025,2025-12-21,Issa Kaboré,DF,2001-05-12,53,2,Wrexham,Wales,,wikipedia:afcon2025
issoufou-dayo,afcon2025,2025-12-21,Issoufou Dayo,DF,1991-08-06,80,9,Umm Salal,Qatar,,wikipedia:afcon2025
josue-tiendrebeogo,afcon2025,2025-12-21,Josué Tiendrébéogo,MF,2002-11-21,10,2,Annecy,France,,wikipedia:afcon2025
kilian-nikiema,afcon2025,2025-12-21,Kilian Nikiema,GK,2003-06-22,9,0,ADO Den Haag,Netherlands,,wikipedia:afcon2025
lassina-traore,afcon2025,2025-12-21,Lassina Traoré,FW,2001-01-12,29,12,Shakhtar Donetsk,Ukraine,,wikipedia:afcon2025
mohamed-konate,afcon2025,2025-12-21,Mohamed Konaté,FW,1997-12-12,37,6,Akhmat Grozny,Russia,,wikipedia:afcon2025
mohamed-zougrana,afcon2025,2025-12-21,Mohamed Zougrana,MF,2001-10-29,4,2,MC Alger,Algeria,,wikipedia:afcon2025
nasser-djiga,afcon2025,2025-12-21,Nasser Djiga,DF,2002-11-15,11,1,Rangers,Scotland,,wikipedia:afcon2025
ousseni-bouda,afcon2025,2025-12-21,Ousseni Bouda,FW,2000-04-28,11,2,San Jose Earthquakes,United States,,wikipedia:afcon2025
pierre-landry-kabore,afcon2025,2025-12-21,Pierre Landry Kaboré,FW,2001-07-05,6,6,Heart of Midlothian,Scotland,,wikipedia:afcon2025
saidou-simpore,afcon2025,2025-12-21,Saïdou Simporé,MF,1992-08-31,15,1,National Bank of Egypt,Egypt,,wikipedia:afcon2025
steeve-yago,afcon2025,2025-12-21,Steeve Yago,DF,1992-12-16,90,1,Aris Limassol,Cyprus,,wikipedia:afcon2025
stephane-aziz-ki,afcon2025,2025-12-21,Stephane Aziz Ki,MF,1996-03-06,20,3,Wydad AC,Morocco,,wikipedia:afcon2025
abdoul-ayinde,recent,2026-06-01,Abdoul Ayinde,DF,2005-07-17,3,0,Gent,Belgium (civil),2025 Africa Cup of Nations,wikipedia:recent
abdoul-yoda,recent,2026-06-01,Abdoul Yoda,MF,2000-12-20,3,0,Milsami Orhei,Moldova,2025 Africa Cup of Nations,wikipedia:recent
bertrand-traore,recent,2026-06-01,Bertrand Traoré,FW,1995-09-06,88,21,Unattached,,2025 Africa Cup of Nations,wikipedia:recent
blati-toure,recent,2026-06-01,Blati Touré,MF,1994-08-04,60,3,Pyramids,Egypt,"v. Guinea-Bissau , 31 March 2026",wikipedia:recent
cedric-badolo,recent,2026-06-01,Cedric Badolo,MF,1998-11-04,31,0,Spartak Trnava,Slovakia,2025 Africa Cup of Nations,wikipedia:recent
dylan-ouedraogo,recent,2026-06-01,Dylan Ouédraogo,DF,1998-07-22,2,0,Krasava ENY,Cyprus,"v. Guinea-Bissau , 31 March 2026",wikipedia:recent
faycal-konate,recent,2026-06-01,Fayçal Konaté,FW,2006-08-15,0,0,RFS,Latvia,"v. Egypt , 9 September 2025",wikipedia:recent
hassane-bande,recent,2026-06-01,Hassane Bandé,FW,1998-10-30,36,3,Mechelen,Belgium (civil),"v. Zimbabwe , 6 June 2025",wikipedia:recent
hassane-rachid-traore,recent,2026-06-01,Hassane Rachid Traoré,DF,2007-07-13,0,0,USFA,Burkina Faso,"v. Zimbabwe , 6 June 2025",wikipedia:recent
ibrahim-bance,recent,2026-06-01,Ibrahim Bancé,MF,2001-01-15,2,0,Marumo Gallants,South Africa,"v. Guinea-Bissau , 31 March 2026",wikipedia:recent
ismaelo-ganiou,recent,2026-06-01,Ismaëlo Ganiou,DF,2005-03-14,1,0,Lens,France,"v. Zimbabwe , 6 June 2025",wikipedia:recent
issa-kabore,recent,2026-06-01,Issa Kaboré,DF,2001-05-12,52,2,Wrexham,Wales,"v. Guinea-Bissau , 31 March 2026",wikipedia:recent
issoufou-dayo,recent,2026-06-01,Issoufou Dayo,DF,1991-08-06,84,9,Umm-Salal,Qatar,2025 Africa Cup of Nations,wikipedia:recent
jack-diarra,recent,2026-06-01,Jack Diarra,FW,2006-06-16,1,0,Espérance de Tunis,Tunisia,"v. Guinea-Bissau , 31 March 2026",wikipedia:recent
josue-tiendrebeogo,recent,2026-06-01,Josué Tiendrébéogo,MF,2002-11-21,10,2,Annecy,France,2025 Africa Cup of Nations,wikipedia:recent
ladji-brahima-sanou,recent,2026-06-01,Ladji Brahima Sanou,GK,2003-04-21,3,0,Al-Merrikh,Sudan,"v. Ethiopia , 12 October 2025",wikipedia:recent
lassina-traore,recent,2026-06-01,Lassina Traoré,FW,2001-01-12,31,13,Shakhtar Donetsk,Ukraine,"v. Guinea-Bissau , 31 March 2026",wikipedia:recent
raouf-memel-dao,recent,2026-06-01,Raouf Memel Dao,MF,2003-09-05,2,0,APR,Burundi,"v. Zimbabwe , 6 June 2025",wikipedia:recent
steeve-yago,recent,2026-06-01,Steeve Yago,DF,1992-12-16,93,1,Aris Limassol,Cyprus,2025 Africa Cup of Nations,wikipedia:recent
stephane-aziz-ki,recent,2026-06-01,Stephane Aziz Ki,MF,1996-03-06,22,3,Wydad Casablanca,Morocco,2025 Africa Cup of Nations,wikipedia:recent
abdoul-tapsoba,current,2026-06-09,Abdoul Tapsoba,FW,2001-08-23,30,5,Radomiak Radom,Poland,,wikipedia:current
aboubacar-bassinga,current,2026-06-09,Aboubacar Bassinga,MF,2005-07-13,2,0,Ceuta,Spain,,wikipedia:current
adamo-nagalo,current,2026-06-09,Adamo Nagalo,DF,2002-09-22,22,0,Konyaspor,Turkey,,wikipedia:current
arsene-kouassi,current,2026-06-09,Arsène Kouassi,DF,2004-09-11,7,1,FC Lorient,France,,wikipedia:current
arthur-zagre,current,2026-06-09,Arthur Zagré,DF,2001-10-04,2,0,Utrecht,Netherlands,,wikipedia:current
cyriaque-irie,current,2026-06-09,Cyriaque Irié,FW,2005-06-20,9,2,SC Freiburg,Germany,,wikipedia:current
cyril-dao,current,2026-06-09,Cyril Dao,DF,2005-11-10,0,0,National Bank of Egypt,Egypt,,wikipedia:current
dango-ouattara,current,2026-06-09,Dango Ouattara,FW,2002-02-11,40,12,Brentford,England,,wikipedia:current
edmond-tapsoba,current,2026-06-09,Edmond Tapsoba,DF,1999-02-02,62,5,Bayer Leverkusen,Germany,,wikipedia:current
elohim-kabore,current,2026-06-09,Elohim Kaboré,FW,2006-12-20,1,1,Hammarby,Sweden,,wikipedia:current
farid-ouedraogo,current,2026-06-09,Farid Ouédraogo,GK,1996-12-26,10,0,Al Hilal,Sudan,,wikipedia:current
georgi-minoungou,current,2026-06-09,Georgi Minoungou,FW,2002-07-25,10,1,Colorado Rapids,United States,,wikipedia:current
gustavo-sangare,current,2026-06-09,Gustavo Sangaré,MF,1996-11-08,40,2,Noah,Armenia,,wikipedia:current
hanaby-hadalou-sagne,current,2026-06-09,Hanaby Hadalou Sagne,DF,2000-12-20,0,0,AS Douanes,Burkina Faso,,wikipedia:current
herve-koffi,current,2026-06-09,Hervé Koffi,GK,1996-10-16,70,0,Angers,France,,wikipedia:current
hillel-konate,current,2026-06-09,Hillel Konaté,GK,1994-12-28,5,0,Troyes,France,,wikipedia:current
ismahila-ouedraogo,current,2026-06-09,Ismahila Ouédraogo,MF,1999-11-05,26,0,Odense,Denmark,,wikipedia:current
kilian-nikiema,current,2026-06-09,Kilian Nikiema,GK,2003-06-22,10,0,ADO Den Haag,Netherlands,,wikipedia:current
lohann-doucet,current,2026-06-09,Lohann Doucet,MF,2002-09-14,2,0,Dunkerque,France,,wikipedia:current
mohamed-konate,current,2026-06-09,Mohamed Konaté,FW,1997-12-12,38,6,Akhmat Grozny,Russia,,wikipedia:current
mohamed-ouedraogo,current,2026-06-09,Mohamed Ouédraogo,DF,2003-01-02,9,0,Rheindorf Altach,Austria,,wikipedia:current
mohamed-zougrana,current,2026-06-09,Mohamed Zougrana,MF,2001-10-29,7,2,MC Alger,Algeria,,wikipedia:current
nasser-djiga,current,2026-06-09,Nasser Djiga,DF,2002-11-15,11,1,Rangers,Scotland,,wikipedia:current
ousseni-bouda,current,2026-06-09,Ousseni Bouda,FW,2000-04-28,14,2,San Jose Earthquakes,United States,,wikipedia:current
pierre-landry-kabore,current,2026-06-09,Pierre Landry Kaboré,FW,2001-07-05,9,3,Heart of Midlothian,Scotland,,wikipedia:current
rachide-gnanou,current,2026-06-09,Rachide Gnanou,DF,2004-11-16,2,0,Gnistan,Finland,,wikipedia:current
saidou-simpore,current,2026-06-09,Saïdou Simporé,DF,1992-08-31,17,1,National Bank of Egypt,Egypt,,wikipedia:current
